name,tipologia,wikidata_id,wikidata_label,birth_year,death_year,matched_as,match_status
Fante Orazio,Varia,,,,,,not_found
Fanton Rodolfo,Varia,,,,,,not_found
Farina,Varia,Q422708,Farina,,,Farina [it],found_no_dates
Fascio di Milano. Gruppo Rionale “Benito Mussolini”,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Fasiani Gian Maria,Varia,Q55227392,Gian Maria Fasiani,1887,1956,Gian Maria Fasiani [it],found
Feltrinelli,"Editori, riviste e quotidiani",Q1210494,Feltrinelli,,,Feltrinelli [it],found_no_dates
Fenoglio Carlo,Varia,,,,,,not_found
Fernandes Lorenzo,Varia,Q67210222,Lorenzo Fernandes,,,Lorenzo Fernandes [en],found_no_dates
Ferracini Carlo,Varia,,,,,,not_found
Ferraguti Alessandro,Varia,,,,,,not_found
Ferrando Gloria,Varia,,,,,,not_found
Ferrari F.,Varia,Q98672700,F. Ferrari,,,F. Ferrari [en],found_no_dates
Ferraris Felicina,Varia,,,,,,not_found
Ferraris Vittoria,Varia,,,,,,not_found
Ferraro Pietro,Ingegneria e divulgazione tecnica,Q3903868,Pietro Ferraro,1908,1974,Pietro Ferraro [it],found
Ferrata Giansiro,Contatti letterari,Q3763757,Giansiro Ferrata,1907,1986,Giansiro Ferrata [it],found
Ferrata Ginetta,Varia,,,,,,not_found
Ferrero Leo,Contatti letterari,Q3830244,Leo Ferrero,1903,1933,Leo Ferrero [it],found
Ferreti Giancarlo,Contatti letterari,,,,,,not_found
Ferri Luigi,Varia,Q3839632,Luigi Ferri,1868,1952,Luigi Ferri [it],found
Fersen,Varia,Q20826948,Fersen,,,Fersen [it],found_no_dates
“Fiera Letteraria”,"Editori, riviste e quotidiani",,,,,,not_found
“(Le) Figarò”,"Editori, riviste e quotidiani",,,,,,not_found
Filippini Felice,Contatti letterari,Q3742151,Felice Filippini,1917,1988,Felice Filippini [it],found
Finzi Bruno,Ingegneria e divulgazione tecnica,Q3645756,Bruno Finzi,1899,1974,Bruno Finzi [it],found
Fiorani Mario,Varia,,,,,,not_found
Fiorelli Fernando,Varia,,,,,,not_found
Fiorentini Felice,Ingegneria e divulgazione tecnica,,,,,,not_found
Flora Francesco,Contatti letterari,Q3749992,Francesco Flora,1891,1962,Francesco Flora [it],found
Flores Enrico,Contatti letterari,Q26265321,Enrico Flores,1936,2021,Enrico Flores [it],found
“Florida. Arte e cultura”,"Editori, riviste e quotidiani",,,,,,not_found
Forlano F.,Varia,,,,,,not_found
Fornasini Emilio,Familiari,,,,,,not_found
Fornasini Franca,Familiari,,,,,,not_found
Fornasini Gandoldi Annita,Familiari,,,,,,not_found
Fornasini Letizia,Familiari,,,,,,not_found
Fornasini Riccardo,Familiari,,,,,,not_found
Franceschi Nora,Varia,,,,,,not_found
Franceschini Maria,Varia,,,,,,not_found
Franchi Raffaello,Contatti letterari,Q52008816,Raffaello Franchi,1899,1949,Raffaello Franchi [it],found
Franci Adolfo,Contatti letterari,Q3828654,Adolfo Franci,1895,1954,Adolfo Franci [it],found
Frateili Armando,Contatti letterari,,,,,,not_found
Frey Ugo,Varia,,,,,,not_found
Freyrie Fenghi Matilde,Amici,,,,,,not_found
Freyrie Giangiacomo,Amici,,,,,,not_found
Friedrich Krupp Aktiengesellschaft Grusonwerk,Varia,,,,,,not_found
Frigerio Aldo e Carla,Varia,,,,,,not_found
Frigerio Mario Antonio,Varia,,,,,,not_found
Frigerio Panzerini Gina,Varia,,,,,,not_found
Frigerio Piana Zina,Varia,,,,,,not_found
Frignola Ermanno,Varia,,,,,,not_found
Frisoli Patrizia,Varia,,,,,,not_found
Frisoli Pietro,Varia,,,,,,not_found
Frisoli Vera,Varia,,,,,,not_found
Frullini Andrea,Varia,Q113769737,Andrea Frullini,,,Andrea Frullini [it],found_no_dates
Fulchignoni Enrico,Contatti letterari,Q1343770,Enrico Fulchignoni,1913,1988,Enrico Fulchignoni [it],found
Fumagalli Moroni Paola,Varia,,,,,,not_found
Fumagalli Paola,Varia,,,,,,not_found
Gabinetto scientifico letterario G. P. Vieusseux,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Gadda Belloni Carlotta,Familiari,,,,,,not_found
Gadda Belloni Luisa,Familiari,,,,,,not_found
Gadda Bossi Ida,Familiari,,,,,,not_found
Gadda Carlo Macario,Familiari,,,,,,not_found
Gadda Clara,Familiari,,,,,,not_found
Gadda Conti Castellini Anna Maria,Familiari,,,,,,not_found
Gadda Conti Piero,Familiari,Q3903245,Piero Gadda Conti,1902,1999,Piero Gadda Conti [it],found
Gadda Conti Tilde,Familiari,,,,,,not_found
Gadda Cucchi Carlotta,Familiari,,,,,,not_found
Gadda Emilio,Familiari,,,,,,not_found
Gadda Enrico,Familiari,Q17484055,Enrico Gadda,1896,1918,Enrico Gadda [it],found
Gadda Enrico,Familiari,Q17484055,Enrico Gadda,1896,1918,Enrico Gadda [it],found
Gadda Fornasini Emilia,Familiari,,,,,,not_found
Gadda Francesco Ippolito,Familiari,,,,,,not_found
Gadda G.,Familiari,,,,,,not_found
Gadda Giuseppe,Familiari,Q3770603,Giuseppe Gadda,1822,1901,Giuseppe Gadda [it],found
Gadda Giuseppe,Familiari,Q3770603,Giuseppe Gadda,1822,1901,Giuseppe Gadda [it],found
Gadda Giuseppe (Peppino),Familiari,,,,,,not_found
Gadda Giuseppe (Pin),Familiari,,,,,,not_found
Gadda Lehr Adele,Familiari,,,,,,not_found
Gadda Osnago Paola,Familiari,,,,,,not_found
Gadda Paolino,Familiari,,,,,,not_found
Gadda Paolo,Familiari,Q124048173,Paolo Gadda,1801,1901,Paolo Gadda [en],found
Gadda Podestà Luisa,Familiari,,,,,,not_found
Gadda Portaluppi Luisa,Familiari,,,,,,not_found
Gadda Pozzi Marina,Familiari,,,,,,not_found
Gadda Rosa,Familiari,,,,,,not_found
Gadda Testori Giuditta,Familiari,,,,,,not_found
Galigani Adolfo Giulio,Varia,,,,,,not_found
Gallavresi Adele,Varia,,,,,,not_found
Gallavresi Enrico,Varia,,,,,,not_found
Galli,Varia,Q273854,Galli,,,Galli [it],found_no_dates
Galli G.,Varia,,,,,,not_found
Gallina Dionisia,Varia,,,,,,not_found
Gallina Egisto,Varia,,,,,,not_found
Gallina Pellegatta Rina,Varia,,,,,,not_found
Gallo Ugo,Contatti letterari,Q4002802,Ugo Gallo,1905,1957,Ugo Gallo [it],found
Gallone Arnaboldi Ernesto,Compagni di guerra e di prigionia,,,,,,not_found
Gandolfi Giovanni,Varia,Q123403588,Giovanni Gandolfi,1915,2004,Giovanni Gandolfi [it],found
Gandolfi Luigi,Varia,Q52149613,Luigi Gandolfi,1810,1869,Luigi Gandolfi [it],found
Gandolfi Teresa,Varia,,,,,,not_found
Garbin Vincenzo,Varia,,,,,,not_found
Garfì Continanza Marcella,Varia,,,,,,not_found
Gargiulo Alfredo,Contatti letterari,Q16525420,Alfredo Gargiulo,1876,1949,Alfredo Gargiulo [it],found
Gargiulo Olga,Contatti letterari,,,,,,not_found
Garin Eugenio,Contatti letterari,Q954692,Eugenio Garin,1909,2004,Eugenio Garin [it],found
Garzanti (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Garzanti Livio,"Editori, riviste e quotidiani",Q3835613,Livio Garzanti,1921,2015,Livio Garzanti [it],found
Gatto Alfonso,Contatti letterari,Q2755854,Alfonso Gatto,1909,1976,Alfonso Gatto [it],found
“Gazzetta del Popolo”,"Editori, riviste e quotidiani",,,,,,not_found
“Il Gazzettino”,"Editori, riviste e quotidiani",,,,,,not_found
Gazzo Emanuel,Varia,,,,,,not_found
Gelli Pietro,Contatti letterari,,,,,,not_found
Genga Giovanni,Varia,,,,,,not_found
Gentile Federico,Contatti letterari,Q27966412,Federico Gentile,1904,1996,Federico Gentile [it],found
Gerardenghi B.,Varia,,,,,,not_found
Gerli E.,Varia,,,,,,not_found
Gerosa Nino,Varia,,,,,,not_found
Gersbach Markus,Varia,,,,,,not_found
Ghioni [Normania],Varia,,,,,,not_found
Ghiotto Giovanna,Varia,,,,,,not_found
Ghisi Federico,Varia,Q3741736,Federico Ghisi,1901,1975,Federico Ghisi [it],found
Ghisi Lina,Varia,,,,,,not_found
Giambartolomei Aldo,Ingegneria e divulgazione tecnica,,,,,,not_found
Giana Erminio,Varia,,,,,,not_found
Gianda Giovanni,Varia,,,,,,not_found
Giani Renato,Varia,Q20991209,Renato Giani,1900,2000,Renato Giani [it],found
Gianni Ada,Varia,,,,,,not_found
Gilles Daniel,Varia,Q65583395,Daniel Gilles,1972,,Daniel Gilles [en],found
Giordano Graziella,Varia,,,,,,not_found
Giorgi Ines,Varia,Q48257559,Ines Giorgi,,,Ines Giorgi [it],found_no_dates
“Il Giornale”,"Editori, riviste e quotidiani",,,,,,not_found
“Il Giornale d'Italia”,"Editori, riviste e quotidiani",,,,,,not_found
“Il Giorno”,"Editori, riviste e quotidiani",,,,,,not_found
Girolami Gina,Varia,,,,,,not_found
Giudici Luigi,Varia,,,,,,not_found
Giuseppe Massimo,Varia,,,,,,not_found
Giuso,Varia,,,,,,not_found
Gnesutta Bruno,Varia,,,,,,not_found
Gobbi Ambrogio,Amici,,,,,,not_found
Gobbi Lina,Varia,,,,,,not_found
Gobbi Mario,Varia,Q88878208,Mario Gobbi,1895,1941,Mario Gobbi [it],found
Gobbi Sigismondo,Varia,,,,,,not_found
Gobbi Ulisse,Varia,Q4003060,Ulisse Gobbi,1859,1940,Ulisse Gobbi [it],found
Goldoni Francesco,Ingegneria e divulgazione tecnica,,,,,,not_found
Gonzalez de Castillo Laura,Varia,,,,,,not_found
Gorgerino Giuseppe,Contatti letterari,,,,,,not_found
Gorni Guglielmo,Contatti letterari,Q3778927,Guglielmo Gorni,1945,2010,Guglielmo Gorni [it],found
Gottardi Virgilio,Varia,Q20007370,Virgilio Gottardi,1909,1972,Virgilio Gottardi [it],found
Granata Gino,Varia,,,,,,not_found
Grande Adriano,Contatti letterari,Q3605725,Adriano Grande,1897,1972,Adriano Grande [it],found
Gravelli Asvero,Varia,Q3627696,Asvero Gravelli,1902,1956,Asvero Gravelli [it],found
Graziadei Ercole ed Emma,Varia,,,,,,not_found
Greppi Carlo Emanuele,Varia,,,,,,not_found
Greppi Franco,Varia,,,,,,not_found
Griselli Italo,Varia,Q3804412,Italo Griselli,1880,1958,Italo Griselli [it],found
Gromo Mario,Contatti letterari,Q3848671,Mario Gromo,1901,1960,Mario Gromo [it],found
Grosso Antonietta,Varia,,,,,,not_found
Gruppo Rionale Fascista “G. Oberdan”,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Gualtieri Giorgio,Varia,Q110609632,Giorgio Gualtieri,1600,1700,Giorgio Gualtieri [it],found
Guanda (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Guanda Ugo,Contatti letterari,,,,,,not_found
Guarnieri (famiglia),Contatti letterari,,,,,,not_found
Guarnieri Antonietta,Contatti letterari,,,,,,not_found
Guarnieri Franca,Contatti letterari,,,,,,not_found
Guarnieri Giacomo,Contatti letterari,Q59534014,Giacomo Guarnieri,,,Giacomo Guarnieri [it],found_no_dates
Guarnieri Maria Pia,Contatti letterari,,,,,,not_found
Guarnieri Maria Vittoria,Contatti letterari,,,,,,not_found
Guarnieri Ortolani Anna,Contatti letterari,,,,,,not_found
Guarnieri Silvio,Contatti letterari,Q19721652,Silvio Guarnieri,1910,1992,Silvio Guarnieri [it],found
Guesin Fausto,Varia,,,,,,not_found
Guglielmetti Giacomo,Varia,,,,,,not_found
Guglielmi Angelo,Contatti letterari,Q3617032,Angelo Guglielmi,1929,2022,Angelo Guglielmi [it],found
Guglielmi Armando,Varia,,,,,,not_found
Haardt André,Varia,,,,,,not_found
Haefely Arthur,Varia,,,,,,not_found
Handley V. F.,Ingegneria e divulgazione tecnica,,,,,,not_found
Harrold A. W.,Ingegneria e divulgazione tecnica,,,,,,not_found
Hederer Felix,Varia,,,,,,not_found
“L'Herne”,"Editori, riviste e quotidiani",,,,,,not_found
Hoepli (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Hofer,Varia,Q1037292,Hofer,,,Hofer [it],found_no_dates
Hruber Irene,Varia,,,,,,not_found
Invernici Enrico,Compagni di guerra e di prigionia,,,,,,not_found
Invernizzi Emilio,Ingegneria e divulgazione tecnica,,,,,,not_found
Isella Dante,Contatti letterari,Q674132,Dante Isella,1922,2007,Dante Isella [it],found
Isotta Fraschini (fabbrica automobili),Varia,,,,,,not_found
Issopi,Ingegneria e divulgazione tecnica,,,,,,not_found
Istituto d'alta cultura,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto de cultura hispanica,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
(Reale) Istituto di studi romani,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto espagnol de la lengua y la literatura,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto italiano di studi germanici,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto Nazionale della Previdenza Sociale,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto nazionale per le relazioni culturali con l'estero,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
"(Regio) Istituto Nautico Vittorio Emanuele II, Genova","Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto Orsoline in Salò,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Istituto per la storia del Risorgimento italiano,"Istituzioni, associazioni ed enti pubblici",Q3803800,Istituto per la storia del Risorgimento italiano,,,Istituto per la storia del Risorgimento italiano [it],found_no_dates
(Regio) Istituto Tecnico Superiore di Milano,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
“Italia”,"Editori, riviste e quotidiani",,,,,,not_found
“Italianistica”,"Editori, riviste e quotidiani",,,,,,not_found
Janner Arminio,Varia,Q55675039,Arminio Janner,1886,1949,Arminio Janner [it],found
Joari G.,Varia,,,,,,not_found
Justicia Mario,Varia,,,,,,not_found
Kaye S. A.,Varia,,,,,,not_found
Keller Augusto,Varia,,,,,,not_found
Kientz L.,Varia,,,,,,not_found
Kolzmann Elisabeth,Varia,,,,,,not_found
Korn Horst,Varia,Q114226803,Horst Korn,,,Horst Korn [en],found_no_dates
Kowalenko Katia,Varia,,,,,,not_found
La Malfa Ugo,Varia,Q1248333,Ugo La Malfa,1903,1979,Ugo La Malfa [it],found
Landolfi Tommaso,Contatti letterari,Q560541,Tommaso Landolfi,1908,1979,Tommaso Landolfi [it],found
Landoni Edoardo,Varia,,,,,,not_found
Lanza Giuseppe,Varia,Q3770781,Giuseppe Lanza,,,Giuseppe Lanza [it],found_no_dates
Lanzi A.,Varia,,,,,,not_found
Lasi Maria Giuseppina,Varia,,,,,,not_found
Laurini Luigi,Varia,,,,,,not_found
Lauro Italo,Varia,,,,,,not_found
Lavarino Antonio,Varia,,,,,,not_found
Lazzoni Moreschi di Deusi Renato,Varia,,,,,,not_found
Lehr Angela,Familiari,,,,,,not_found
Lehr Assunta,Familiari,,,,,,not_found
Lehr Carlo,Familiari,,,,,,not_found
Lehr Luigia,Familiari,,,,,,not_found
Lehr Razzini Maria,Familiari,,,,,,not_found
Lehr Vatta Carolina,Familiari,,,,,,not_found
Le Monnier (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Leonetto Leoni,Varia,,,,,,not_found
Lequesne André,Varia,,,,,,not_found
“Letteratura”,"Editori, riviste e quotidiani",,,,,,not_found
“La Letteratura Italiana”,"Editori, riviste e quotidiani",,,,,,not_found
“Lettere d'oggi”,"Editori, riviste e quotidiani",,,,,,not_found
“Lettere ed Arti”,"Editori, riviste e quotidiani",,,,,,not_found
“La Lettura”,"Editori, riviste e quotidiani",,,,,,not_found
Liberati Adele,Varia,,,,,,not_found
Liberati Giovanni e famiglia,Varia,,,,,,not_found
Liberati Giuseppina,Varia,,,,,,not_found
Liberati Mario,Varia,,,,,,not_found
Librairie Louis Laffitte,Varia,,,,,,not_found
Libreria Internazionale Fratelli Treves,Varia,,,,,,not_found
Libreria Internazionale Seeber,Varia,,,,,,not_found
“Libri e riviste d'Italia”,"Editori, riviste e quotidiani",,,,,,not_found
(Regio) Liceo-Ginnasio “G. Parini”,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Lignarolo Giovanni,Varia,,,,,,not_found
Linati Carlo,Contatti letterari,Q3659525,Carlo Linati,1878,1949,Carlo Linati [it],found
Lind Siv,Varia,,,,,,not_found
Lisi Giuseppe,Varia,Q92695039,Giuseppe Lisi,1929,,Giuseppe Lisi [it],found
Lloyd Sabaudo,Varia,Q2878113,Lloyd Sabaudo,,,Lloyd Sabaudo [it],found_no_dates
Lombardi Cesare,Varia,Q108251086,Cesare Lombardi,1900,1971,Cesare Lombardi [it],found
Longanesi (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Longanesi Leo,"Editori, riviste e quotidiani",Q1818677,Leo Longanesi,1905,1957,Leo Longanesi [it],found
Longhi Antonio,Varia,,,,,,not_found
Longhi Roberto,Contatti letterari,Q1361667,Roberto Longhi,1890,1970,Roberto Longhi [it],found
Longor Mario,Varia,,,,,,not_found
Lorenzetti Nella,Varia,,,,,,not_found
Loria Arturo,Contatti letterari,Q3624556,Arturo Loria,1902,1957,Arturo Loria [it],found
Loyé Franz,Varia,,,,,,not_found
Lucarelli Margherita,Varia,,,,,,not_found
Luna Enrico,Varia,,,,,,not_found
Lunetta Mario,Varia,Q3848740,Mario Lunetta,1934,2017,Mario Lunetta [it],found
Lux Film,"Istituzioni, associazioni ed enti pubblici",Q3840934,Lux Film,,,Lux Film [it],found_no_dates
Luzi Mario,Contatti letterari,Q723569,Mario Luzi,1914,2005,Mario Luzi [it],found
Macchi Gino,Varia,,,,,,not_found
Macchia Giovanni,Contatti letterari,Q1403600,Giovanni Macchia,1912,2001,Giovanni Macchia [it],found
Macrí Oreste,Contatti letterari,,,,,,not_found
Maffioli M.,Varia,,,,,,not_found
Maggioni Luciana,Varia,,,,,,not_found
Maggiore E.,Varia,,,,,,not_found
Magli Adriano,Varia,Q3605739,Adriano Magli,1920,1988,Adriano Magli [it],found
Magnani Gino,Varia,,,,,,not_found
Malaparte Curzio,Contatti letterari,Q312637,Curzio Malaparte,1898,1957,Curzio Malaparte [it],found
Malatini Franco,Varia,,,,,,not_found
Malferrari C. L.,Varia,,,,,,not_found
Malgeri Francesco,Varia,Q80976091,Francesco Malgeri,1934,,Francesco Malgeri [it],found
Mandelli Guido,Varia,,,,,,not_found
Manea Giuseppe,Varia,,,,,,not_found
Manescalchi Amedeo,Varia,Q126680884,Amedeo Manescalchi,1891,1962,Amedeo Manescalchi [it],found
Manfred F. Ernest,Varia,,,,,,not_found
Manfredi Francesco,Ingegneria e divulgazione tecnica,Q63859950,Francesco Manfredi,1877,,Francesco Manfredi [it],found
Manifatture Martiny,Varia,,,,,,not_found
Mansa Maria Luisa,Varia,,,,,,not_found
Manzini Gianna,Contatti letterari,Q3105245,Gianna Manzini,1896,1974,Gianna Manzini [it],found
Marchetti Domenico,Amici,Q3713112,Domenico Marchetti,1626,1688,Domenico Marchetti [it],found
Marchetti Gaetano,Varia,Q112118183,Gaetano Marchetti,1907,,Gaetano Marchetti [it],found
Marchetti Liliana,Varia,,,,,,not_found
Marchetti Maddalena,Amici,,,,,,not_found
Marchetti Vittoria,Varia,,,,,,not_found
Mariani Anna,Varia,Q123876984,Anna Mariani,1970,,Anna Mariani [en],found
Mariani Edoardo,Amici,Q3719617,Edoardo Mariani,1893,1956,Edoardo Mariani [it],found
Mariani Giulio,Varia,,,,,,not_found
Mariani Maria,Varia,,,,,,not_found
Mariani Rocco,Varia,,,,,,not_found
Marris Anna,Varia,,,,,,not_found
Martegiani Carlo,Varia,,,,,,not_found
Martinelli Onofrio,Contatti letterari,Q19407696,Onofrio Martinelli,1900,1966,Onofrio Martinelli [it],found
Martinetti Piero,Contatti letterari,Q2092904,Piero Martinetti,1872,1943,Piero Martinetti [it],found
Martini Quinto,Contatti letterari,Q3927942,Quinto Martini,1908,1990,Quinto Martini [it],found
Martini Quinto,Contatti letterari,Q3927942,Quinto Martini,1908,1990,Quinto Martini [it],found
Martini Raul,Varia,,,,,,not_found
Marussi Garibaldo,Contatti letterari,Q3758359,Garibaldo Marussi,1909,1973,Garibaldo Marussi [it],found
Mattai del Moro Ercole,Amici,,,,,,not_found
Mattai del Moro Giuseppe,Amici,,,,,,not_found
Mattai del Moro Linda,Amici,,,,,,not_found
Mattai del Moro Maria,Amici,,,,,,not_found
“Il Mattino”,"Editori, riviste e quotidiani",,,,,,not_found
“Il Mattino dell'Italia Centrale”,"Editori, riviste e quotidiani",,,,,,not_found
“Il Mattino di Roma”,"Editori, riviste e quotidiani",,,,,,not_found
Melani Raffaello,Varia,Q3929255,Raffaello Melani,1883,1958,Raffaello Melani [it],found
Mella A. L.,Varia,,,,,,not_found
Menici L. (ditta di mobili),Varia,,,,,,not_found
Menna Antonio e Ottorina,Varia,,,,,,not_found
Merck Louis,Varia,Q1871860,Louis Merck,1854,1913,Louis Merck [it],found
Merli Gianfranco,Varia,Q20953789,Gianfranco Merli,1924,1998,Gianfranco Merli [it],found
Messina Francesco,Contatti letterari,Q2528299,Francesco Messina,1900,1995,Francesco Messina [it],found
Metta Anna Maria,Varia,,,,,,not_found
Micchettoni Livia,Varia,,,,,,not_found
Mila Massimo,Varia,Q3851367,Massimo Mila,1910,1988,Massimo Mila [it],found
Militz Carl,Varia,,,,,,not_found
“Minerva. Rivista delle riviste”,"Editori, riviste e quotidiani",,,,,,not_found
Miniati Gianni,Varia,,,,,,not_found
"Ministero dell’Agricoltura e delle Foreste. Ente di colonizzazione del latifondo siciliano, Palermo","Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Ministero dell’Educazione Nazionale,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Miretti Alessandrina,Varia,,,,,,not_found
Mississippi River Power Company,Varia,Q117157470,Mississippi River Power Company,,,Mississippi River Power Company [en],found_no_dates
Modello Spiga Imelde,Varia,,,,,,not_found
Molanti (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Monachesi Graziella,Varia,Q125055127,Graziella Monachesi,,,Graziella Monachesi [it],found_no_dates
Mondadori Alberto,"Editori, riviste e quotidiani",Q3608456,Alberto Mondadori,1914,1976,Alberto Mondadori [it],found
Monsalvato (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Monsati Giannina,Varia,,,,,,not_found
Montale Eugenio,Contatti letterari,Q83174,Eugenio Montale,1896,1981,Eugenio Montale [it],found
Montanari Carlotta,Varia,Q16832207,Carlotta Montanari,1981,,Carlotta Montanari [it],found
Montanari E.,Varia,,,,,,not_found
Montanelli Indro,Contatti letterari,Q327914,Indro Montanelli,1909,2001,Indro Montanelli [it],found
Montano Lorenzo,Contatti letterari,Q3837018,Lorenzo Montano,1893,1958,Lorenzo Montano [it],found
Montano Lorenzo,Contatti letterari,Q3837018,Lorenzo Montano,1893,1958,Lorenzo Montano [it],found
Montecatini. Società Generale per l'industria mineraria ed agricoltura,Varia,,,,,,not_found
Montesi Vittorino,Varia,,,,,,not_found
Monza (Comune),Varia,,,,,,not_found
Mor F.,Varia,,,,,,not_found
Morante Elsa,Contatti letterari,Q275979,Elsa Morante,1912,1985,Elsa Morante [it],found
Moretto Saverio,Varia,,,,,,not_found
Moroni Paola,Varia,,,,,,not_found
Morosini,Varia,Q242828,Morosini,,,Morosini [it],found_no_dates
Morucchio Berto,Varia,,,,,,not_found
Morucchio Guzzetti Gabriella,Varia,,,,,,not_found
Mosca Giovanni,Contatti letterari,Q3767790,Giovanni Mosca,1908,1983,Giovanni Mosca [it],found
Moser Wladimir,Varia,,,,,,not_found
Mostra di Lorenzo Lotto,Varia,,,,,,not_found
Mostra di Pablo Picasso,Varia,,,,,,not_found
Mueller,Varia,Q1951751,Mueller,,,Mueller [it],found_no_dates
Murani Eliseo,Varia,,,,,,not_found
Murru Giampaolo,Varia,,,,,,not_found
Musizza,Compagni di guerra e di prigionia,,,,,,not_found
Muzio A.,Varia,,,,,,not_found
Nascimbeni Carolina,Varia,,,,,,not_found
Natoli Glauco,Contatti letterari,Q3771913,Glauco Natoli,1908,1964,Glauco Natoli [it],found
“La Nazione”,"Editori, riviste e quotidiani",,,,,,not_found
Neri Pozza editore,"Editori, riviste e quotidiani",,,,,,not_found
Ney Ernesto,Contatti letterari,,,,,,not_found
Ney Flora,Varia,,,,,,not_found
Ney Riccardo,Varia,,,,,,not_found
Neyer Al.,Varia,,,,,,not_found
Nicastro L.,Varia,,,,,,not_found
Nicolai Giorgio,Varia,,,,,,not_found
Nizzola Monneret Lucia,Varia,,,,,,not_found
Noferi Adelia,Contatti letterari,Q109735588,Adelia Noferi,1922,2014,Adelia Noferi [it],found
Nonveiller Roberto,Contatti letterari,Q63249216,Roberto Nonveiller,1917,1959,Roberto Nonveiller [it],found
Nonveiller Vittorina,Contatti letterari,,,,,,not_found
Notari Umberto,Contatti letterari,Q4003450,Umberto Notari,1878,1950,Umberto Notari [it],found
Nous Mario,Varia,,,,,,not_found
Novaro Angiolo Silvio,Contatti letterari,Q2560882,Angiolo Silvio Novaro,1866,1938,Angiolo Silvio Novaro [it],found
Novelli Gino,Varia,Q52809741,Gino Novelli,,,Gino Novelli [it],found_no_dates
“Nuova Antologia”,"Editori, riviste e quotidiani",,,,,,not_found
“Nuove edizioni italiane”,"Editori, riviste e quotidiani",,,,,,not_found
“Nuovi argomenti”,"Editori, riviste e quotidiani",,,,,,not_found
“Il Nuovo Corriere”,"Editori, riviste e quotidiani",,,,,,not_found
“Officina”,"Editori, riviste e quotidiani",,,,,,not_found
Officina Tipografica Gregoriana Editrice,"Editori, riviste e quotidiani",,,,,,not_found
Officine Meccaniche Stigler,Varia,,,,,,not_found
“Oficina de cooperacion intelectual”,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
“Oggi”,"Editori, riviste e quotidiani",,,,,,not_found
Oliva Antonio,Varia,Q3619967,Antonio Oliva,1827,1886,Antonio Oliva [it],found
Oppo Cipriano Efisio,Contatti letterari,Q3677445,Cipriano Efisio Oppo,1890,1962,Cipriano Efisio Oppo [it],found
Orlandi Giulia,Varia,Q17631790,Giulia Orlandi,1987,,Giulia Orlandi [it],found
Ortolani Bruno,Varia,,,,,,not_found
Orvieto Vivante Annalia,Varia,,,,,,not_found
Osella Secondo,Varia,,,,,,not_found
Osnago Giuseppe (Peppo),Varia,,,,,,not_found
Osnago Luigi,Varia,,,,,,not_found
Osti Gino,Varia,,,,,,not_found
Owen Peter (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Pagani Enrico,Varia,Q3725960,Enrico Pagani,1929,1998,Enrico Pagani [it],found
Paganini Angelina,Varia,,,,,,not_found
“Palatina”,"Editori, riviste e quotidiani",,,,,,not_found
Palestrino Gustavo,Varia,,,,,,not_found
Paletti Gino,Varia,,,,,,not_found
Pancrazi Pietro,Contatti letterari,Q3904127,Pietro Pancrazi,1893,1952,Pietro Pancrazi [it],found
Panigatti F.lli,Varia,,,,,,not_found
“Panorama”,"Editori, riviste e quotidiani",,,,,,not_found
Papi Roberto,Contatti letterari,,,,,,not_found
Pappalepore Nicolai,Varia,,,,,,not_found
“Paragone”,"Editori, riviste e quotidiani",,,,,,not_found
“Parallelo”,"Editori, riviste e quotidiani",,,,,,not_found
Parenti Carlo,Contatti letterari,Q44063153,Carlo Parenti,,,Carlo Parenti [it],found_no_dates
Parenti F.lli (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Parini Colombi Rosetta,Varia,,,,,,not_found
Parini Silvio,Varia,,,,,,not_found
Parise Goffredo,Contatti letterari,Q1132008,Goffredo Parise,1929,1986,Goffredo Parise [it],found
